"Student Counts by District and Race"
"All Districts"
"Trend"

"",,"Race",,,,,,,,,,,,
"District","District Code","American Indian","American Indian or Alaska Native","Asian","Black or African American","Black, not of Hispanic Origin","Hispanic/Latino","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Not Reported","Two or More Races","White","White, not of Hispanic Origin","Total"
"Regional School District 07","=""2070012""","*",11,100,49,15,33,148,"*",0,20,7606,3446,11431
"Regional School District 08","=""2080012""","*",14,278,76,41,76,230,"*",0,68,11324,4975,17089
"Regional School District 09","=""2090012""","*",29,307,60,22,76,315,"*",0,138,6416,2730,10103
"Regional School District 10","=""2100012""",6,16,512,104,57,199,571,23,0,73,16797,8123,26481
"Regional School District 11","=""2110012""","*","*",21,45,14,30,150,6,0,31,1695,864,2866
"Regional School District 12","=""2120012""","*","*",113,71,33,80,281,36,0,51,5156,2871,8708
"Regional School District 13","=""2130012""",16,11,340,52,59,153,536,0,0,409,11982,6051,19609
"Regional School District 14","=""2140012""","*",22,350,100,57,162,355,"*",0,46,12516,6175,19795
"Regional School District 15","=""2150012""",55,50,1961,405,148,344,1272,21,0,260,24686,12664,41866
"Regional School District 16","=""2160012""","*",14,280,411,170,221,828,"*",0,80,15067,7445,24527
"Regional School District 17","=""2170012""",7,18,469,220,68,81,201,0,0,246,14897,7322,23529
"Regional School District 18","=""2180012""",10,"*",473,44,37,92,393,"*",0,169,8869,4216,14315
"Regional School District 19","=""2190012""",23,15,598,170,99,146,577,14,0,90,7213,3124,12069
"Ridgefield School District","=""1180011""",13,29,2640,238,123,518,2003,14,0,675,31644,15289,53186
"Rocky Hill School District","=""1190011""",8,32,4220,591,312,497,1364,0,0,254,12211,6152,25641
"Salem School District","=""1210011""","*",25,193,84,41,18,119,"*",0,45,2559,1394,4486
"Salisbury School District","=""1220011""",0,0,59,40,43,26,131,0,0,181,1647,848,2975
"Scotland School District","=""1230011""","*",0,0,9,"*",18,64,0,0,12,814,515,1440
"Seymour School District","=""1240011""","*",35,792,651,272,550,1714,"*",0,120,12913,6557,23636
"Sharon School District","=""1250011""",0,"*",33,10,12,"*",31,0,0,24,1148,594,1860
"Shelton School District","=""1260011""",61,72,2969,1418,516,1145,3490,17,0,479,27702,14200,52069
"Sherman School District","=""1270011""",8,12,69,6,20,12,47,0,0,69,2389,1298,3930
"Side By Side Charter School District","=""2700013""","*",0,190,468,230,213,648,"*",0,92,308,173,2331
"Simsbury School District","=""1280011""",28,"*",2538,1542,578,478,1714,"*",0,407,25583,12993,45868
"Somers School District","=""1290011""",0,13,244,220,122,94,362,8,0,160,9775,4834,15832
